search_id,patient_id,search_query,filters_applied,treatment_clicked,country_clicked,clicked_clinic_id,time_on_search_page,timestamp
798,e124c3f2-5132-4e68-a1a0-54a970583380,hair transplant,"feature:financing, specialty:dental, feature:telemedicine, language:english",mental health support,UAE,910,231,2025-03-13 14:19:31
799,5b7c57e8-fdf0-4450-985b-4b176d9b1eb1,mental health support,"specialty:fertility, specialty:dental, specialty:cosmetic, feature:financing",dermatology clinic,Indonesia,622,273,2025-03-07 14:19:31
800,7ddcaaf6-ac95-4db1-bfac-54fd0345eeda,cheap surrogacy,"specialty:dental, verified, language:spanish, language:english",mental health support,South Korea,560,94,2025-02-06 14:19:31
801,9925bc9b-cd60-4879-b79b-1079abb8fe95,cheap surrogacy,"feature:telemedicine, specialty:fertility",hair transplant,Argentina,782,288,2025-02-15 14:19:31
802,1fa54251-5074-4c13-bc0f-94cdc2ebbaa2,hair transplant,"rating:4+, feature:financing, specialty:cosmetic",dental implants,Canada,460,6,2025-03-30 14:19:31
803,6fa6681c-fdc5-4285-8f50-b11f7c420494,hair transplant,"specialty:dental, feature:luxury, language:spanish, specialty:cosmetic",knee replacement,Russia,1008,19,2025-04-03 14:19:31
804,0bf2fb51-c4f5-403e-9af1-128cc8ee46bf,hair transplant,"specialty:dental, language:english, rating:4+, feature:luxury",hair transplant,UAE,894,248,2025-01-20 14:19:31
805,cb6b6306-8422-40cf-9a36-433af3abd246,ivf treatment,"feature:financing, verified, feature:luxury",cheap surrogacy,Georgia,334,34,2025-03-31 14:19:31
806,5ced7017-2518-4c09-afdd-6a87c8c621be,dermatology clinic,"language:english, specialty:fertility",hair transplant,Thailand,109,189,2025-02-24 14:19:31
807,9fb209b1-732f-4932-ab96-2697c1e1f813,cardiology clinic,feature:luxury,plastic surgery abroad,South Africa,598,44,2025-02-12 14:19:31
808,6f9d1d74-f82c-4ad8-9d03-7a064cad66c5,cosmetic surgery,specialty:cosmetic,cosmetic surgery,Serbia,1542,283,2025-03-08 14:19:31
809,0723e11e-05fe-47bc-a8f7-8d49a2bc491e,cardiology clinic,"feature:luxury, language:english, specialty:dental",cheap surrogacy,Netherlands,1095,185,2025-03-31 14:19:31
810,590bd0c6-946a-45a6-b2e4-01af47021755,cosmetic surgery,"language:english, rating:4+, language:spanish",cosmetic surgery,Vietnam,697,57,2025-03-22 14:19:31
811,d6415102-20d1-468f-8b8c-e21f97289c5e,plastic surgery abroad,"feature:telemedicine, feature:financing",plastic surgery abroad,Denmark,1257,277,2025-02-07 14:19:31
812,adbd2e33-ef6e-4295-9c8a-f485b98050a6,ivf treatment,"rating:4+, specialty:dental, feature:financing, language:spanish",dental implants,Brazil,269,250,2025-03-05 14:19:31
813,5fecaa6e-8891-4cf5-bd88-23d20e512083,cardiology clinic,"rating:4+, feature:financing",cardiology clinic,Serbia,1564,93,2025-01-18 14:19:31
814,6c412493-ef7c-4f26-bc66-7012be741860,dental implants,feature:telemedicine,cosmetic surgery,Brazil,264,121,2025-03-10 14:19:31
815,62359144-1e7f-42ad-aa39-73ffe14fea78,knee replacement,"specialty:dental, language:spanish",ivf treatment,Belgium,1415,44,2025-04-16 14:19:31
816,7506d74c-cc8a-4796-b015-693cf23e9a06,dermatology clinic,"verified, feature:telemedicine, specialty:dental, specialty:cosmetic",plastic surgery abroad,Bulgaria,1625,35,2025-02-17 14:19:31
817,42fc7edf-813a-4aa5-bd81-0c217f764fce,hair transplant,specialty:dental,dental implants,Indonesia,618,54,2025-04-03 14:19:31
818,651076d6-c761-4e83-84d9-94518f188e72,cheap surrogacy,"specialty:cosmetic, feature:telemedicine",cardiology clinic,Italy,379,19,2025-04-07 14:19:31
819,81b61c87-2803-4eb5-9ab6-c73d8feff87b,hair transplant,"language:english, specialty:fertility, feature:telemedicine",cheap surrogacy,Ukraine,1035,39,2025-04-06 14:19:31
820,079e8b0b-f198-462e-9c9d-3eadaea491fc,cheap surrogacy,feature:financing,knee replacement,Canada,445,149,2025-03-28 14:19:31
821,ac249f30-92a0-4677-b700-b3c5d0a90840,plastic surgery abroad,specialty:dental,plastic surgery abroad,UK,439,248,2025-03-03 14:19:31
822,7ccc9258-0979-45d3-8a70-3330ffc03136,cheap surrogacy,"rating:4+, specialty:dental",cardiology clinic,France,371,199,2025-02-23 14:19:31
823,cbafd542-58e9-4bad-b5b1-773c6d56cfd5,plastic surgery abroad,"language:spanish, specialty:dental",cardiology clinic,Serbia,1560,68,2025-02-18 14:19:31
824,18a95210-9f8c-4c51-9f39-36a54d8131f5,plastic surgery abroad,"rating:4+, language:english",hair transplant,Czech Republic,1444,290,2025-04-13 14:19:31
825,b9a6bd75-6cb9-4a2c-968e-51f03b9d5832,cardiology clinic,"specialty:dental, language:spanish, feature:luxury, feature:telemedicine",hair transplant,Denmark,1230,232,2025-03-21 14:19:31
826,bbfc5dc1-fff4-46b9-bb46-8c13f28a030b,mental health support,"language:spanish, feature:telemedicine, specialty:dental",dermatology clinic,Israel,1644,193,2025-03-27 14:19:31
827,590bd0c6-946a-45a6-b2e4-01af47021755,dermatology clinic,language:spanish,plastic surgery abroad,UAE,898,48,2025-04-03 14:19:31
828,79d54e9f-7846-4474-927c-5ea78a159e92,mental health support,"specialty:cosmetic, specialty:dental, specialty:fertility, verified",knee replacement,Philippines,745,178,2025-03-24 14:19:31
829,0a5a2698-17cb-47b8-ad0f-74e6a174a785,mental health support,feature:telemedicine,dermatology clinic,Egypt,870,147,2025-02-03 14:19:31
830,6f2190cb-2fb5-4401-9d26-70765e44b774,hair transplant,"language:english, rating:4+, language:spanish, feature:telemedicine",hair transplant,Ukraine,1048,80,2025-02-19 14:19:31
831,2719bfdb-53b3-418b-ade0-56489ac60306,ivf treatment,"rating:4+, specialty:cosmetic, feature:telemedicine",cosmetic surgery,Ireland,1287,20,2025-04-06 14:19:31
832,9f310fff-297a-4503-9833-33c3f88fa199,dental implants,rating:4+,dental implants,Switzerland,1389,96,2025-03-01 14:19:31
833,6ff6881f-77dd-462b-8a6b-836b157f108b,cardiology clinic,"feature:luxury, specialty:dental",ivf treatment,Serbia,1557,271,2025-02-14 14:19:31
834,196b58f1-ded8-4c47-bb88-854e7f968d71,dermatology clinic,"feature:luxury, rating:4+",plastic surgery abroad,Russia,1005,138,2025-02-08 14:19:31
835,416aa7f6-eafd-4e7b-ba5d-bd40ed711fe9,plastic surgery abroad,verified,ivf treatment,Egypt,882,201,2025-02-20 14:19:31
836,aec7f267-7990-4a27-ac7c-eeb78bb5f242,mental health support,"rating:4+, verified, feature:financing, specialty:dental",hair transplant,Sweden,1141,89,2025-02-15 14:19:31
837,db38f306-6e6a-4d5b-a154-be4a61cf91fb,cosmetic surgery,"language:spanish, rating:4+, specialty:dental",dermatology clinic,Norway,1166,288,2025-01-21 14:19:31
838,d6442365-1b27-45f6-b383-24f7eddcac0a,cheap surrogacy,"rating:4+, feature:financing, specialty:fertility, feature:luxury",mental health support,Thailand,115,139,2025-02-14 14:19:31
839,cf9d539c-6c2b-4781-81a9-5ee21718cfde,mental health support,"feature:luxury, language:english, verified",cheap surrogacy,Mexico,58,28,2025-04-02 14:19:31
840,851031c0-e035-4d75-a90d-75adcc8fe6ce,cardiology clinic,"specialty:cosmetic, verified, language:english",ivf treatment,Argentina,780,224,2025-03-05 14:19:31
841,f0c44ecb-c78a-4900-92bd-16ec148113b4,mental health support,"verified, feature:telemedicine, feature:financing",hair transplant,Australia,481,48,2025-01-20 14:19:31
842,7ddcaaf6-ac95-4db1-bfac-54fd0345eeda,hair transplant,language:english,dental implants,France,348,280,2025-03-08 14:19:31
843,36daa93a-6c91-4882-a12e-73c7fb368cf4,dermatology clinic,"specialty:cosmetic, feature:financing, language:spanish, specialty:fertility",dermatology clinic,Mexico,42,16,2025-03-09 14:19:31
844,a0d80651-3338-42d1-a691-c66400c99370,cheap surrogacy,"language:english, specialty:dental, rating:4+, verified",knee replacement,Belgium,1415,177,2025-02-14 14:19:31
845,3ad82406-0df8-4d2b-a60c-037e305d0ef7,cardiology clinic,"specialty:cosmetic, feature:luxury",mental health support,Philippines,745,108,2025-02-14 14:19:31
846,9fb209b1-732f-4932-ab96-2697c1e1f813,ivf treatment,"feature:luxury, specialty:cosmetic",hair transplant,Turkey,98,298,2025-02-26 14:19:31
847,15d1e2f8-2bd7-4038-8149-2b7a4968fdf2,knee replacement,specialty:cosmetic,cheap surrogacy,Germany,195,177,2025-03-15 14:19:31
848,70249792-6578-4d0c-9aec-8b70ac0e7307,cheap surrogacy,"language:spanish, feature:telemedicine, language:english, specialty:cosmetic",hair transplant,India,158,263,2025-03-11 14:19:31
849,fec5ea47-372f-4f47-999f-069134e420bf,plastic surgery abroad,"feature:telemedicine, language:spanish, feature:financing",cheap surrogacy,Japan,515,268,2025-02-19 14:19:31
850,6f8fd55c-3de5-4ee2-a655-596c2528d32d,plastic surgery abroad,"verified, feature:financing",cheap surrogacy,Italy,383,260,2025-03-22 14:19:31
851,4d7ae829-cdfc-4f75-a51e-89f1acd380ef,dermatology clinic,"feature:financing, language:spanish, verified",knee replacement,Poland,1070,191,2025-02-18 14:19:31
852,7ea413e5-436d-477b-a431-cbbe0e44c9dc,knee replacement,"feature:luxury, language:spanish",cardiology clinic,Chile,841,37,2025-01-27 14:19:31
853,39d3a9cf-cdfa-46af-a6eb-43b092d2408e,mental health support,"feature:luxury, specialty:fertility, specialty:cosmetic",cheap surrogacy,Belgium,1407,125,2025-02-26 14:19:31
854,a0733e57-ba03-41f9-90ed-01d3ef444cf5,ivf treatment,"feature:telemedicine, verified",hair transplant,Australia,503,242,2025-02-15 14:19:31
855,52bb530d-486f-4c8f-a4c5-dae5cd32e712,mental health support,"verified, feature:telemedicine, specialty:fertility, rating:4+",dental implants,Spain,280,137,2025-03-14 14:19:31
856,b0b710ab-f690-42cf-ac7e-5cc6b0cf3e7f,plastic surgery abroad,"verified, rating:4+",dental implants,Bulgaria,1603,33,2025-04-08 14:19:31
857,51057c35-1ceb-48fe-b2de-b798b31a25b5,cheap surrogacy,"specialty:dental, language:spanish, language:english",ivf treatment,Switzerland,1376,208,2025-04-01 14:19:31
858,9d4ac78b-cf16-43a0-8860-4b56a34f2452,ivf treatment,feature:financing,cheap surrogacy,Switzerland,1361,273,2025-03-17 14:19:31
859,26b94955-f336-45da-8380-3b4a7dc42f12,ivf treatment,"specialty:cosmetic, specialty:dental",cardiology clinic,Slovenia,1584,173,2025-02-03 14:19:31
860,9f310fff-297a-4503-9833-33c3f88fa199,mental health support,"language:spanish, feature:telemedicine",ivf treatment,Spain,296,94,2025-03-22 14:19:31
861,b8541d6a-d59f-4b69-b9a8-832f60971a15,hair transplant,"language:spanish, feature:luxury, verified, feature:telemedicine",cardiology clinic,Netherlands,1093,62,2025-03-09 14:19:31
862,f4881671-a0db-4ca2-b43c-fb6b7ad7c891,mental health support,"feature:telemedicine, feature:luxury, specialty:fertility, rating:4+",cardiology clinic,Qatar,974,162,2025-04-16 14:19:31
863,88ccddbc-6f0d-4229-9b38-7c72ac648459,cheap surrogacy,verified,knee replacement,Belgium,1415,134,2025-02-07 14:19:31
864,d4a39a51-c481-4a69-b83b-f029b6ac2048,hair transplant,"specialty:dental, feature:financing, feature:telemedicine",mental health support,UAE,907,9,2025-02-27 14:19:31
865,7d52903f-f2a4-4575-ae58-5967b063796a,hair transplant,"specialty:dental, feature:telemedicine, feature:luxury",cosmetic surgery,UK,431,229,2025-01-28 14:19:31
866,e1228e75-4719-4f5c-b69b-d5963f10938c,mental health support,feature:luxury,dermatology clinic,India,165,246,2025-02-25 14:19:31
867,7d52903f-f2a4-4575-ae58-5967b063796a,cardiology clinic,"specialty:dental, specialty:fertility, feature:luxury, rating:4+",cardiology clinic,Thailand,136,220,2025-01-31 14:19:31
868,b61d56f5-b916-4357-8b1b-df3be217a6df,plastic surgery abroad,"rating:4+, verified, feature:financing",cosmetic surgery,Portugal,1314,232,2025-01-26 14:19:31
869,226dd24f-6e41-4e23-bdd1-9b8f2a055b69,dental implants,"feature:telemedicine, feature:luxury, language:english, feature:financing",ivf treatment,India,169,85,2025-03-18 14:19:31
870,1fa7cddf-25e6-4919-9deb-cd5cb8427379,cosmetic surgery,"language:english, rating:4+, feature:financing, language:spanish",cosmetic surgery,Romania,1506,138,2025-03-27 14:19:31
871,91c631cf-4b7a-423e-b38a-ea2d3e1cfa14,cheap surrogacy,"feature:luxury, feature:telemedicine, specialty:dental",cardiology clinic,Chile,849,98,2025-02-27 14:19:31
872,c62f3461-d50c-457e-bdc8-719c4239850b,mental health support,"verified, specialty:cosmetic",cheap surrogacy,Sweden,1144,122,2025-04-07 14:19:31
873,75ffe99a-a2ef-4f53-8138-34472376324f,dermatology clinic,"feature:luxury, specialty:fertility",mental health support,Turkey,102,224,2025-02-01 14:19:31
874,76d32b96-4f7f-463e-93c5-44a3cc0b200d,cosmetic surgery,language:english,cheap surrogacy,France,349,65,2025-04-17 14:19:31
875,49bb1313-294d-45fc-8553-9a506facc50d,plastic surgery abroad,"rating:4+, specialty:cosmetic, specialty:dental, feature:financing",knee replacement,Czech Republic,1462,102,2025-03-15 14:19:31
876,bc06e86b-922b-4fb2-9ca7-99723c6d3173,dermatology clinic,"specialty:fertility, language:spanish, feature:telemedicine, feature:luxury",hair transplant,UK,442,101,2025-02-24 14:19:31
877,96867676-783e-40ab-b22a-55a605391557,mental health support,"verified, feature:luxury",knee replacement,Japan,537,235,2025-03-18 14:19:31
878,7408f646-53a7-4719-bcdf-83028c37e264,cheap surrogacy,"specialty:dental, verified, rating:4+, specialty:cosmetic",mental health support,Malaysia,663,113,2025-02-28 14:19:31
879,50db8e34-938f-4b90-ac08-7d6c04de78f8,mental health support,"specialty:dental, specialty:cosmetic, verified",cardiology clinic,Thailand,107,125,2025-02-17 14:19:31
880,1915bb1c-744d-4236-9c7c-0778c74f054f,cardiology clinic,verified,plastic surgery abroad,Japan,520,200,2025-03-11 14:19:31
881,32dba028-4823-4ebe-8cad-e92e53dc4fae,cardiology clinic,"feature:financing, verified",cosmetic surgery,Norway,1189,138,2025-03-28 14:19:31
882,3ad82406-0df8-4d2b-a60c-037e305d0ef7,dermatology clinic,"rating:4+, specialty:fertility, specialty:dental",plastic surgery abroad,Malaysia,650,226,2025-03-31 14:19:31
883,76d32b96-4f7f-463e-93c5-44a3cc0b200d,ivf treatment,"verified, specialty:fertility, rating:4+",cardiology clinic,South Korea,576,225,2025-03-13 14:19:31
884,8508df91-60ae-4372-b6df-b4a623d52be0,hair transplant,"feature:financing, language:english, language:spanish",cardiology clinic,Georgia,338,256,2025-03-30 14:19:31
885,91b45e06-cc0a-428b-b518-5923e8292e3b,dermatology clinic,feature:telemedicine,dental implants,Spain,305,122,2025-03-26 14:19:31
886,5ad5a309-d5b1-496a-ae4c-16e21b799e6b,dermatology clinic,"specialty:fertility, rating:4+, language:spanish",dermatology clinic,Croatia,238,25,2025-02-21 14:19:31
887,f0c44ecb-c78a-4900-92bd-16ec148113b4,plastic surgery abroad,"rating:4+, specialty:cosmetic, specialty:dental, language:spanish",cosmetic surgery,Hungary,1475,68,2025-03-05 14:19:31
888,67899d92-f33c-4c36-9a69-0cadaaab5830,knee replacement,"specialty:fertility, specialty:cosmetic, feature:luxury",cheap surrogacy,Sweden,1154,113,2025-02-03 14:19:31
889,c30f3c69-21ff-4f72-9b0f-caa7d56c478f,dental implants,"language:spanish, specialty:dental",dermatology clinic,Australia,505,53,2025-03-07 14:19:31
890,f93c8859-011b-4348-8981-1f35c10750bc,hair transplant,language:spanish,cheap surrogacy,Argentina,766,59,2025-03-08 14:19:31
891,0734a403-0fb9-4b5d-920b-28f648d0e602,dental implants,rating:4+,dermatology clinic,Czech Republic,1450,237,2025-01-28 14:19:31
892,e4edc295-efd3-4a6d-8c74-65186bf843df,hair transplant,language:english,cheap surrogacy,Turkey,90,236,2025-03-08 14:19:31
893,5f187c02-1e24-4a97-a73e-f6f485d4bf0f,cheap surrogacy,"feature:telemedicine, verified",hair transplant,Israel,1642,170,2025-04-11 14:19:31
894,9b125dfb-2804-435a-b311-65e02c5cce54,ivf treatment,"specialty:dental, language:spanish, feature:luxury, specialty:cosmetic",mental health support,Australia,492,50,2025-04-16 14:19:31
895,c9d0c0fc-9fd6-4922-8b5f-74aae3386d52,knee replacement,"language:spanish, specialty:cosmetic",cosmetic surgery,South Africa,584,66,2025-03-11 14:19:31
896,4385a3e3-ed3d-4159-82f5-da5fd45ff4db,mental health support,"specialty:cosmetic, specialty:fertility, language:english",ivf treatment,Switzerland,1363,193,2025-02-12 14:19:31
897,49902258-36cd-442f-892c-6b33d9af8224,dermatology clinic,"language:spanish, rating:4+, feature:luxury, feature:financing",mental health support,Denmark,1230,51,2025-02-23 14:19:31
898,3a6a22d9-c986-4893-abf5-fc9887972916,cardiology clinic,"language:spanish, specialty:cosmetic",dental implants,Germany,191,267,2025-03-06 14:19:31
899,75ffe99a-a2ef-4f53-8138-34472376324f,dermatology clinic,"specialty:fertility, rating:4+",plastic surgery abroad,Poland,1080,47,2025-03-12 14:19:31
900,650ad9aa-fa3f-412e-8d71-1f28618521ab,mental health support,rating:4+,cosmetic surgery,Indonesia,616,70,2025-01-21 14:19:31
901,8508df91-60ae-4372-b6df-b4a623d52be0,hair transplant,"feature:financing, language:spanish",cheap surrogacy,South Africa,606,29,2025-02-07 14:19:31
902,f9a732dc-5d1c-4906-9090-dc9d2b3171dc,dental implants,feature:financing,mental health support,Egypt,871,53,2025-02-18 14:19:31
903,4d7ae829-cdfc-4f75-a51e-89f1acd380ef,cheap surrogacy,"language:english, feature:luxury, specialty:dental",plastic surgery abroad,Slovenia,1575,13,2025-04-04 14:19:31
904,210c78d9-7b9e-49eb-aac4-363f1610ac0a,dermatology clinic,"specialty:fertility, language:spanish",ivf treatment,Turkey,93,218,2025-01-18 14:19:31
905,ce830e27-c5ef-4670-9f4d-88ce998de3d8,cardiology clinic,"rating:4+, feature:luxury, language:english, language:spanish",cosmetic surgery,Israel,1659,113,2025-03-26 14:19:31
906,984f5a56-3344-47eb-96b0-905232f75350,cheap surrogacy,"specialty:dental, language:spanish, verified",mental health support,USA,12,64,2025-04-17 14:19:31
907,4e0ebe2e-de72-4970-90c4-9f9eb020321b,dermatology clinic,"language:spanish, rating:4+, feature:luxury, feature:financing",cheap surrogacy,Israel,1666,189,2025-01-20 14:19:31
908,ca3e3238-dbb2-4c33-a045-6992d79330f1,mental health support,"specialty:dental, specialty:fertility, feature:financing",knee replacement,USA,29,62,2025-04-16 14:19:31
909,8de6e6b3-bb27-46bc-9888-f0d99423251e,knee replacement,feature:telemedicine,cosmetic surgery,Qatar,986,128,2025-02-22 14:19:31
910,be216c79-b8b7-41b0-8de8-1d1edfa0bc17,plastic surgery abroad,"specialty:dental, feature:luxury",dermatology clinic,Slovenia,1577,80,2025-02-17 14:19:31
911,1e56d346-7e80-4d05-ac71-b531d3c724e8,dental implants,specialty:fertility,dermatology clinic,Georgia,313,253,2025-02-17 14:19:31
912,039479c1-c363-461f-9400-9191d1d06bcd,dermatology clinic,"feature:telemedicine, feature:luxury",mental health support,Norway,1167,31,2025-03-07 14:19:31
913,173d5030-077d-4688-99fe-1c45abac7bf8,ivf treatment,"language:spanish, rating:4+, feature:luxury, verified",mental health support,Russia,999,253,2025-02-12 14:19:31
914,cf9d539c-6c2b-4781-81a9-5ee21718cfde,cheap surrogacy,"feature:telemedicine, verified, feature:financing, specialty:cosmetic",cardiology clinic,Norway,1181,288,2025-04-10 14:19:31
915,cdb4adab-ca27-4d69-8226-4ba40775d778,mental health support,"specialty:dental, rating:4+, language:english, feature:telemedicine",mental health support,Czech Republic,1429,15,2025-03-29 14:19:31
916,bc06e86b-922b-4fb2-9ca7-99723c6d3173,knee replacement,"language:english, rating:4+, feature:telemedicine, feature:luxury",cheap surrogacy,Canada,450,178,2025-01-31 14:19:31
917,c9d0c0fc-9fd6-4922-8b5f-74aae3386d52,dermatology clinic,"feature:luxury, language:spanish",cardiology clinic,Egypt,854,246,2025-03-29 14:19:31
918,413e84bd-5aff-4594-80dd-8895d0154898,knee replacement,"specialty:dental, rating:4+, specialty:fertility",knee replacement,France,355,85,2025-01-31 14:19:31
919,4385a3e3-ed3d-4159-82f5-da5fd45ff4db,ivf treatment,"rating:4+, feature:luxury, feature:telemedicine, specialty:dental",dental implants,Sweden,1141,14,2025-03-04 14:19:31
920,a08262df-427f-4635-9f7b-8b00d7720330,hair transplant,"specialty:fertility, specialty:cosmetic, verified",ivf treatment,Israel,1653,177,2025-02-22 14:19:31
921,caf07226-7e00-4029-847f-9b05851b5f38,cheap surrogacy,"specialty:dental, feature:financing",dermatology clinic,Canada,459,137,2025-03-06 14:19:31
922,a142d68f-2ac3-4bd3-9afc-388c81dec9db,cardiology clinic,feature:financing,cosmetic surgery,South Korea,548,268,2025-01-31 14:19:31
923,a60c2bed-7b2a-4f10-b590-103906dd5e19,ivf treatment,rating:4+,dermatology clinic,Israel,1637,61,2025-04-05 14:19:31
924,0abe8257-8ffe-48c9-92d8-1eb31a140609,cheap surrogacy,feature:financing,plastic surgery abroad,Turkey,86,58,2025-03-28 14:19:31
925,155287c7-0b96-4346-a498-da39d7c8f02c,ivf treatment,"language:english, specialty:fertility",hair transplant,Hungary,1492,231,2025-02-13 14:19:31
926,a84ca488-ec40-44c6-9a60-69f38e40b294,ivf treatment,"language:english, specialty:cosmetic",cosmetic surgery,Singapore,1678,67,2025-03-24 14:19:31
927,4a4a15ea-075d-4cd4-a55c-82c7cadee3ec,mental health support,feature:telemedicine,dermatology clinic,Israel,1658,179,2025-03-13 14:19:31
928,429e09bd-7862-446c-892e-44b72ee25989,cosmetic surgery,feature:luxury,mental health support,Argentina,763,189,2025-01-28 14:19:31
929,04110e35-d0e3-4b2b-9ca6-4c3330d867cd,knee replacement,"feature:financing, language:spanish",knee replacement,Bulgaria,1613,75,2025-02-23 14:19:31
930,4299b351-99b3-468d-adcc-9c609e35836f,mental health support,"feature:financing, language:english, verified, feature:telemedicine",dental implants,Spain,299,269,2025-04-10 14:19:31
931,b6a787b1-c3cb-4c28-874c-fa297fc5ae23,cardiology clinic,"language:spanish, specialty:fertility, specialty:cosmetic",mental health support,Thailand,126,23,2025-01-24 14:19:31
932,7fb32568-9594-4ea8-8381-6e47df3c5c8a,cosmetic surgery,feature:financing,mental health support,South Africa,606,210,2025-01-21 14:19:31
933,974e598d-836b-47c3-bc71-1cc8665173fa,plastic surgery abroad,"language:english, specialty:cosmetic, verified",hair transplant,Singapore,1694,275,2025-01-30 14:19:31
934,651076d6-c761-4e83-84d9-94518f188e72,cosmetic surgery,"rating:4+, feature:telemedicine, specialty:cosmetic, language:english",mental health support,Vietnam,708,106,2025-03-11 14:19:31
935,b6a787b1-c3cb-4c28-874c-fa297fc5ae23,dental implants,"language:spanish, specialty:fertility, feature:luxury",ivf treatment,UK,438,266,2025-02-07 14:19:31
936,5fecaa6e-8891-4cf5-bd88-23d20e512083,plastic surgery abroad,"specialty:fertility, verified, feature:financing",plastic surgery abroad,Bulgaria,1632,137,2025-03-19 14:19:31
937,0ecc9ff5-9316-4f53-a70a-f82826a4cbef,hair transplant,"feature:financing, specialty:dental, verified, language:spanish",hair transplant,Argentina,764,264,2025-03-04 14:19:31
938,6e2f1d3b-fd9f-45f4-8816-d739c3933447,dental implants,rating:4+,cheap surrogacy,South Africa,611,7,2025-02-19 14:19:31
939,6372d635-7141-4f58-9b8e-c35b3c83861e,knee replacement,"language:english, feature:luxury",cheap surrogacy,South Africa,583,76,2025-03-01 14:19:31
940,2b15619e-d5bf-45f3-ae3f-674c48bbdb12,knee replacement,language:english,cheap surrogacy,Poland,1058,103,2025-03-03 14:19:31
941,18643b6a-12b3-45eb-8198-002998e1d54c,ivf treatment,"language:spanish, specialty:cosmetic",ivf treatment,India,168,36,2025-02-23 14:19:31
942,bca2c581-928b-4e4b-8c47-2ded72e06bb4,cosmetic surgery,"feature:telemedicine, rating:4+, specialty:dental, specialty:fertility",plastic surgery abroad,Switzerland,1387,211,2025-02-02 14:19:31
943,52bb530d-486f-4c8f-a4c5-dae5cd32e712,plastic surgery abroad,"feature:luxury, rating:4+, language:spanish, feature:telemedicine",dermatology clinic,Belgium,1412,218,2025-03-29 14:19:31
944,79d54e9f-7846-4474-927c-5ea78a159e92,plastic surgery abroad,"rating:4+, specialty:cosmetic",plastic surgery abroad,Brazil,265,275,2025-04-03 14:19:31
945,bcb12a00-7ee6-47de-993e-ea4d6a6a642b,knee replacement,"rating:4+, verified, specialty:fertility, feature:luxury",ivf treatment,Argentina,757,214,2025-04-04 14:19:31
946,dc137c04-cf3a-4f8d-97f7-31e38add3976,cardiology clinic,"verified, feature:financing, specialty:fertility",cardiology clinic,Brazil,242,161,2025-03-02 14:19:31
947,6c412493-ef7c-4f26-bc66-7012be741860,hair transplant,"verified, specialty:fertility, feature:financing, language:spanish",mental health support,Finland,1208,29,2025-03-10 14:19:31
948,fba2a5f1-56c7-4990-b401-73c10155aa51,hair transplant,"specialty:fertility, rating:4+",ivf treatment,USA,5,285,2025-03-05 14:19:31
949,70249792-6578-4d0c-9aec-8b70ac0e7307,dental implants,"rating:4+, feature:luxury, specialty:cosmetic, specialty:fertility",mental health support,Bulgaria,1601,248,2025-01-31 14:19:31
950,dc409942-a8cf-4936-8e81-b2f02d474c4f,cosmetic surgery,"rating:4+, specialty:cosmetic, specialty:fertility, language:spanish",cardiology clinic,Hungary,1491,50,2025-01-29 14:19:31
951,04110e35-d0e3-4b2b-9ca6-4c3330d867cd,cheap surrogacy,"language:spanish, feature:telemedicine, specialty:cosmetic, specialty:fertility",dental implants,Netherlands,1108,231,2025-03-14 14:19:31
952,88ccddbc-6f0d-4229-9b38-7c72ac648459,ivf treatment,"verified, feature:luxury",ivf treatment,Sweden,1150,291,2025-04-08 14:19:31
953,9d655c03-2aa8-44da-96ec-0e55aad9e93d,cheap surrogacy,specialty:cosmetic,knee replacement,Poland,1069,248,2025-02-13 14:19:31
954,59afb1d1-3bdc-4ce0-9875-e4dad830dffe,dental implants,feature:financing,dental implants,France,369,145,2025-03-23 14:19:31
955,4cdedddb-c3f9-478c-af70-4164bf164454,cheap surrogacy,"specialty:dental, feature:financing, language:english, feature:telemedicine",dental implants,Finland,1207,256,2025-04-16 14:19:31
956,649a0bf9-f5f3-443a-a8e7-f03002038340,mental health support,"language:spanish, verified",cardiology clinic,Poland,1082,200,2025-03-17 14:19:31
957,79cfc04f-5b29-417a-a675-d5e2f1773294,ivf treatment,feature:financing,hair transplant,France,345,78,2025-03-26 14:19:31
958,99ea5bbd-afd5-490b-81a6-7c90291c0da1,ivf treatment,"feature:luxury, language:spanish",cosmetic surgery,Switzerland,1390,35,2025-01-30 14:19:31
959,59410ea3-8c2b-478e-9f50-e1aa0088b13a,cardiology clinic,"verified, specialty:cosmetic",mental health support,South Africa,611,55,2025-03-09 14:19:31
960,af74ae63-8dc4-481f-a8fa-e9047d94ed9f,mental health support,"feature:luxury, language:spanish, specialty:dental",knee replacement,Thailand,107,127,2025-02-01 14:19:31
961,79f7f38c-6359-45ce-a2aa-6dc77208838e,knee replacement,"feature:financing, specialty:cosmetic, language:spanish, verified",dental implants,South Korea,552,167,2025-02-18 14:19:31
962,bbfc5dc1-fff4-46b9-bb46-8c13f28a030b,mental health support,rating:4+,mental health support,Mexico,60,124,2025-04-16 14:19:31
963,cdb4adab-ca27-4d69-8226-4ba40775d778,plastic surgery abroad,feature:telemedicine,plastic surgery abroad,Serbia,1563,69,2025-03-11 14:19:31
964,dd926cbf-c558-4a17-b70d-78a03d75e423,mental health support,"specialty:dental, feature:financing, feature:telemedicine, language:spanish",cardiology clinic,Spain,292,281,2025-03-28 14:19:31
