clinic_id,clinic_name,country,city,specialties,languages_spoken,is_verified,has_profile_photo,has_doctor_bio,has_services_listed,has_prices_listed,has_reviews,completeness_score,average_price,average_review_rating,response_rate_percent,average_response_time_hours,last_updated_date,total_clicks,last_clicked_date,clinic_activity_score,inquiries_last_30_days,last_response_date
379,Moore Group,Thailand,Bangkok,Fertility,"Turkish, English, German",1,0,0,1,0,0,,5701.6,1.3,52,30.6,2025-02-04,317,2025-03-13,57,21,2025-03-24
380,Boone LLC,Thailand,Chiang Mai,"Cardiology, Fertility, Dermatology","Thai, Turkish, Croatian",1,0,1,0,1,1,,2711.81,2.6,84,4.3,2025-01-23,911,2025-03-21,94,17,2025-03-29
381,"Richardson, Farmer and Andrews",USA,Los Angeles,"Dental, Cardiology, Cosmetic Surgery","Thai, English, Hindi",0,0,0,0,1,0,,1642.69,4.7,61,69.3,2025-03-14,805,2025-04-05,31,45,2025-03-23
382,Bruce-Villegas,India,Mumbai,Cardiology,"German, Turkish, Hindi",0,1,0,1,1,0,,4441.9,4.4,70,28.1,2025-04-07,117,2025-04-12,69,10,2025-04-09
383,"Austin, Day and Johnson",Mexico,Cancun,"Dental, Fertility","Turkish, Thai",0,0,1,0,0,0,,3331.23,1.4,59,30.3,2025-03-08,264,2025-03-25,15,3,2025-04-12
384,"Gallegos, Adams and White",Mexico,Tijuana,"Fertility, Orthopedics, Cardiology",German,0,1,1,1,0,1,,774.61,3.5,51,20.1,2025-02-02,691,2025-04-12,31,48,2025-04-01
385,"Farmer, Dorsey and Bell",Germany,Berlin,"Cardiology, Orthopedics","English, Thai",0,0,1,0,0,1,,9632.85,3.2,52,1.1,2025-02-18,984,2025-02-24,79,18,2025-03-29
386,Kane PLC,Mexico,Cancun,Orthopedics,"Hindi, German",1,1,0,1,0,0,,7522.24,3.3,69,7.4,2025-01-19,125,2025-02-24,17,46,2025-04-01
387,"Morales, Thomas and Schultz",Turkey,Ankara,Cardiology,"Croatian, German, Thai",1,1,1,0,1,1,,2500.93,4.8,71,2.1,2025-01-20,136,2025-03-08,0,38,2025-04-03
388,Davis PLC,USA,Los Angeles,"Fertility, Orthopedics, Cardiology","Hindi, English",0,0,1,0,1,1,,8360.93,2.4,61,60.6,2025-01-19,8,2025-04-11,59,23,2025-03-20
389,Bennett Group,Mexico,Mexico City,Fertility,"English, German, Thai",0,0,1,0,0,1,,9689.32,1.1,81,65.2,2025-01-18,620,2025-04-05,0,12,2025-03-23
390,Moore-Collins,Germany,Munich,Cosmetic Surgery,"Hindi, Turkish, Spanish",0,0,0,0,0,0,,2966.43,3.3,64,63.6,2025-03-14,196,2025-02-23,86,1,2025-03-27
391,Frank-Bradley,Germany,Hamburg,"Cosmetic Surgery, Cardiology, Orthopedics",Turkish,0,1,1,1,1,0,,6961.65,2.9,73,37.7,2025-04-13,905,2025-03-03,28,3,2025-04-10
392,Ware and Sons,Thailand,Phuket,"Cosmetic Surgery, Dental","Spanish, German",0,0,0,1,0,0,,2370.33,2.3,54,45.4,2025-04-06,28,2025-03-19,55,1,2025-03-31
393,Webster Inc,Croatia,Dubrovnik,"Cosmetic Surgery, Fertility",Turkish,0,1,0,1,0,0,,7869.62,3.5,98,7.8,2025-02-20,592,2025-04-11,10,3,2025-03-20
394,"Miller, Ramos and Coleman",USA,New York,"Dermatology, Dental",English,1,0,1,1,0,0,,6936.86,3.2,68,61.3,2025-02-26,98,2025-03-10,96,26,2025-04-11
395,"Ramos, Nelson and Fischer",Croatia,Dubrovnik,"Cardiology, Dental, Orthopedics","Turkish, Croatian",0,1,0,1,1,0,,1526.06,1.0,95,5.8,2025-03-25,926,2025-03-13,16,40,2025-04-02
396,Reed Inc,Turkey,Ankara,"Orthopedics, Cardiology","Spanish, Croatian",0,0,0,0,1,1,,5374.69,3.6,72,23.1,2025-02-08,794,2025-04-09,18,30,2025-04-09
397,Gregory-Watkins,India,Mumbai,"Cosmetic Surgery, Dental","Hindi, Thai, Spanish",0,0,0,1,1,0,,9776.85,3.6,62,56.8,2025-03-06,193,2025-03-07,60,44,2025-03-27
398,"Estrada, Williams and Foster",Thailand,Phuket,"Cosmetic Surgery, Cardiology, Dermatology","German, Turkish, Croatian",0,0,1,0,1,0,,9239.56,3.6,94,17.3,2025-01-29,218,2025-04-03,61,47,2025-03-25
399,"Brown, Harris and Dougherty",Croatia,Split,"Orthopedics, Fertility, Dermatology",Croatian,0,1,0,0,1,0,,5769.57,1.6,78,14.8,2025-02-03,934,2025-03-01,46,2,2025-04-18
400,Duran LLC,Mexico,Cancun,"Fertility, Dermatology","Thai, Spanish",1,0,0,0,0,0,,8507.37,4.6,51,60.0,2025-04-01,388,2025-03-08,100,7,2025-04-08
401,Wilson-Jimenez,Mexico,Mexico City,"Fertility, Cosmetic Surgery","Thai, Spanish",1,0,0,0,0,0,,2320.97,2.5,73,23.6,2025-02-23,1000,2025-03-09,31,2,2025-03-25
402,Thompson-James,India,Bangalore,Cardiology,"Croatian, Spanish",1,0,0,1,0,1,,2487.76,1.3,80,57.2,2025-01-30,66,2025-04-08,65,24,2025-03-25
403,"Hall, Hansen and Barnett",Germany,Hamburg,"Orthopedics, Cardiology","Spanish, German",1,1,1,1,1,1,,6562.0,4.2,91,3.6,2025-03-21,916,2025-04-06,57,15,2025-04-06
404,Jones-Hensley,Mexico,Mexico City,"Orthopedics, Cardiology",Croatian,1,1,0,0,0,1,,4722.8,2.4,87,3.9,2025-02-12,636,2025-03-28,54,28,2025-04-04
405,Graham Group,Thailand,Chiang Mai,"Orthopedics, Cosmetic Surgery","Turkish, English",0,1,0,1,0,1,,9064.02,2.2,82,37.4,2025-01-26,80,2025-02-27,35,14,2025-04-15
406,Atkins PLC,USA,Los Angeles,"Dental, Cardiology",German,0,1,1,1,1,0,,7203.61,5.0,98,51.8,2025-02-08,934,2025-04-02,1,49,2025-04-09
407,Berry-Mckinney,Turkey,Ankara,"Orthopedics, Cardiology","English, Turkish, Hindi",0,1,0,0,0,1,,2720.37,3.3,85,54.8,2025-02-18,348,2025-02-27,10,20,2025-03-22
408,Roberts-Sullivan,Mexico,Mexico City,"Orthopedics, Fertility, Dermatology","Croatian, Hindi",0,1,0,0,1,0,,5248.1,3.6,72,25.1,2025-02-24,435,2025-03-06,96,25,2025-03-25
409,Jackson-Meza,Croatia,Dubrovnik,"Cosmetic Surgery, Dermatology, Dental","Croatian, English, Spanish",0,1,1,1,0,1,,1105.24,2.5,80,8.7,2025-02-05,985,2025-03-21,81,19,2025-04-16
410,Collier-Gillespie,Mexico,Cancun,"Cardiology, Fertility, Dental","Hindi, Turkish, English",0,0,0,1,1,0,,2713.87,3.6,54,33.3,2025-03-02,530,2025-04-18,21,20,2025-03-22
411,Kim Inc,Thailand,Chiang Mai,Dental,Hindi,1,1,0,1,0,0,,8769.27,2.2,95,48.2,2025-03-29,618,2025-03-13,39,37,2025-04-12
412,Graham Group,India,Bangalore,"Orthopedics, Cosmetic Surgery, Fertility",Spanish,1,0,1,0,1,1,,4871.94,3.3,97,7.5,2025-01-26,902,2025-02-19,58,22,2025-03-27
413,"Miller, Harrell and Reese",Croatia,Dubrovnik,"Orthopedics, Cardiology",Turkish,0,0,1,1,1,0,,7135.96,1.4,94,68.1,2025-03-19,906,2025-02-22,20,17,2025-03-21
414,Cook and Sons,Germany,Hamburg,"Dermatology, Dental","Thai, Croatian, Spanish",1,1,0,1,0,0,,5291.75,4.1,76,33.0,2025-03-17,212,2025-03-17,5,29,2025-04-18
415,Dixon Inc,USA,Miami,"Dermatology, Orthopedics, Cardiology","Thai, Turkish",0,1,0,0,1,0,,7236.45,1.5,92,54.2,2025-02-15,472,2025-04-14,10,35,2025-03-28
416,"Hicks, Bullock and Bailey",Mexico,Tijuana,"Fertility, Orthopedics","Croatian, Spanish",0,0,0,0,1,0,,5579.21,2.6,54,48.7,2025-04-17,693,2025-04-01,19,28,2025-04-07
417,"Mullen, Brewer and Hernandez",Mexico,Cancun,"Dental, Cardiology, Fertility","Thai, English",0,1,1,1,0,0,,962.31,2.5,62,66.9,2025-03-02,930,2025-04-03,25,5,2025-04-18
418,Thomas and Sons,Thailand,Bangkok,Cosmetic Surgery,Thai,0,0,0,0,0,0,,4448.96,1.4,70,23.9,2025-01-28,194,2025-03-10,26,34,2025-04-06
419,Morrison Ltd,Thailand,Bangkok,Fertility,German,1,0,0,1,1,0,,4197.27,2.8,54,47.7,2025-03-14,665,2025-03-10,47,2,2025-04-16
420,Thompson Ltd,Mexico,Mexico City,"Cardiology, Orthopedics",Thai,0,1,0,1,1,0,,3654.44,3.5,94,23.6,2025-01-23,493,2025-04-14,42,1,2025-03-30
421,Marshall-Elliott,India,Mumbai,"Cardiology, Fertility","Hindi, Thai, English",0,0,0,1,0,1,,7693.83,3.5,53,10.8,2025-02-14,303,2025-04-06,19,24,2025-04-12
422,"Cole, Glass and Cunningham",Germany,Berlin,Dermatology,"Turkish, Thai, German",0,1,1,0,1,1,,7630.23,1.9,96,24.5,2025-03-18,210,2025-03-15,6,42,2025-04-11
423,"Downs, Morris and Maddox",Croatia,Dubrovnik,"Dermatology, Fertility, Orthopedics","German, Spanish, Turkish",0,0,1,0,0,0,,6526.49,1.6,63,9.9,2025-03-27,606,2025-03-14,26,15,2025-04-02
424,Hernandez-Jones,USA,New York,"Orthopedics, Cosmetic Surgery, Fertility","Spanish, Croatian, Turkish",0,0,1,1,1,0,,3082.68,4.1,55,68.5,2025-03-03,407,2025-03-25,21,30,2025-04-04
425,Welch-Hogan,Thailand,Phuket,"Dermatology, Orthopedics, Fertility","English, Turkish",1,0,1,0,0,1,,4114.28,2.2,68,27.6,2025-01-31,492,2025-04-14,42,8,2025-03-27
426,"Brown, Romero and Collins",Thailand,Bangkok,Fertility,English,1,1,1,1,1,1,,4148.36,2.2,87,6.1,2025-04-14,943,2025-04-11,49,36,2025-04-13
427,Johnson-Wood,Mexico,Mexico City,"Dermatology, Cosmetic Surgery","Thai, Turkish, German",0,1,1,0,0,1,,827.82,4.3,90,51.2,2025-04-15,714,2025-03-07,82,9,2025-04-10
428,Jones-Lin,India,Mumbai,"Fertility, Cosmetic Surgery, Dermatology","Hindi, Thai, Spanish",0,0,0,1,1,0,,5426.1,1.8,77,12.8,2025-02-23,258,2025-03-05,38,32,2025-03-19
429,Gilbert PLC,India,Bangalore,"Cardiology, Cosmetic Surgery","Turkish, Thai, English",0,1,0,1,0,1,,7140.59,1.0,60,59.0,2025-04-18,99,2025-04-14,99,44,2025-04-05
430,Ford-Spencer,India,Mumbai,"Cosmetic Surgery, Orthopedics, Fertility",German,0,0,0,1,0,0,,4781.28,4.3,61,15.3,2025-03-26,828,2025-03-01,24,16,2025-03-21
431,"Huang, Cole and Pacheco",Croatia,Split,"Dermatology, Cardiology",Croatian,0,0,1,0,1,0,,3129.24,2.4,87,17.7,2025-02-15,688,2025-03-01,12,0,2025-04-17
432,"Lopez, Jacobs and Mason",Turkey,Istanbul,"Cardiology, Dental, Dermatology",Hindi,0,1,1,1,1,1,,6241.53,2.3,93,64.2,2025-03-09,836,2025-04-03,46,42,2025-04-06
433,Hayes LLC,Thailand,Phuket,Cosmetic Surgery,"Croatian, English",0,1,1,0,0,0,,8755.55,2.1,94,54.4,2025-03-18,377,2025-03-21,79,43,2025-03-28
434,"Miller, Lucas and Williams",Croatia,Split,"Orthopedics, Fertility, Dental","Croatian, German, English",1,0,1,1,0,1,,4301.57,3.5,55,25.7,2025-02-17,674,2025-02-23,89,6,2025-03-26
435,"Kim, Gonzales and Mills",Thailand,Chiang Mai,"Fertility, Dermatology, Dental",Turkish,0,1,1,0,1,0,,5080.6,3.2,65,16.0,2025-01-24,716,2025-04-13,13,27,2025-03-27
436,Cox LLC,USA,Los Angeles,"Orthopedics, Cosmetic Surgery",Thai,1,1,0,0,1,0,,8057.63,2.3,64,67.2,2025-02-01,66,2025-03-08,43,24,2025-03-20
437,Ortiz-Morgan,Germany,Hamburg,"Dermatology, Orthopedics, Cardiology",Spanish,1,0,1,0,0,0,,3732.26,3.4,62,53.9,2025-04-04,586,2025-03-26,16,20,2025-03-19
438,"Williams, Mccoy and Cook",Thailand,Phuket,"Dental, Cosmetic Surgery, Dermatology","Hindi, Spanish, Turkish",1,1,1,0,0,0,,4255.47,3.2,79,23.4,2025-03-12,857,2025-04-04,63,43,2025-04-04
439,Davis-Gregory,Mexico,Tijuana,"Fertility, Dental","German, Croatian, Hindi",0,1,1,0,1,1,,7189.33,2.5,71,11.8,2025-03-23,868,2025-03-03,28,44,2025-03-26
440,King-York,USA,Los Angeles,"Dermatology, Orthopedics","Croatian, Thai",0,0,1,1,1,1,,9907.99,4.0,75,6.1,2025-03-13,289,2025-03-05,24,44,2025-03-22
441,"Marks, Cook and Aguilar",India,Mumbai,Fertility,"Croatian, Hindi",0,1,1,0,0,1,,7111.58,2.2,59,15.9,2025-03-24,752,2025-03-08,1,23,2025-03-26
442,Rangel LLC,Croatia,Dubrovnik,Dermatology,Turkish,1,0,0,0,1,1,,2206.51,1.2,82,47.2,2025-02-02,444,2025-04-09,80,46,2025-04-06
443,"Hale, Myers and Larson",Mexico,Cancun,Fertility,"Turkish, German",0,1,0,1,1,1,,6507.17,2.8,50,9.5,2025-04-08,124,2025-03-18,82,42,2025-03-20
444,Collins Group,India,Delhi,Cardiology,"Hindi, Turkish, German",0,0,1,1,1,1,,5928.52,1.4,54,51.7,2025-02-09,189,2025-03-24,89,1,2025-04-06
445,"Conner, Li and Santiago",India,Bangalore,"Orthopedics, Dental, Cardiology",Thai,0,0,0,0,1,1,,1668.93,1.5,63,47.3,2025-04-07,575,2025-04-02,96,2,2025-04-16
446,"Osborn, Gaines and Davis",USA,Miami,"Cosmetic Surgery, Cardiology",Turkish,0,0,1,0,1,1,,1828.62,3.0,70,38.1,2025-03-04,620,2025-03-15,65,13,2025-03-27
447,"Henderson, Cox and Cox",USA,Miami,Fertility,Spanish,0,1,0,0,0,1,,3135.26,3.9,77,6.3,2025-03-17,266,2025-03-25,83,10,2025-04-06
448,Bean LLC,Thailand,Bangkok,"Dermatology, Orthopedics","Spanish, Hindi, Croatian",0,1,0,1,0,1,,8304.89,2.3,100,31.8,2025-04-15,987,2025-03-11,31,4,2025-04-10
449,Lee-Cooke,USA,Miami,Dermatology,"Turkish, English, German",0,1,1,1,0,0,,3099.64,1.4,64,27.9,2025-04-05,801,2025-02-18,15,11,2025-04-02
450,Jones Inc,Germany,Munich,"Orthopedics, Dental, Cosmetic Surgery","Hindi, German, Croatian",1,0,0,0,1,1,,2216.39,4.2,93,69.7,2025-02-09,564,2025-03-11,51,30,2025-03-31
451,"Wise, Conley and Stephenson",Mexico,Mexico City,Dermatology,"Thai, Spanish, Croatian",0,1,1,0,1,0,,6943.04,2.7,79,14.0,2025-03-04,817,2025-03-20,64,18,2025-04-10
452,Stanley PLC,Thailand,Phuket,"Fertility, Cosmetic Surgery, Dental","Turkish, German",0,0,0,0,0,0,,5965.51,1.3,68,40.3,2025-02-14,827,2025-02-22,1,27,2025-03-28
453,Harper and Sons,India,Bangalore,Orthopedics,"Hindi, Thai",0,1,0,0,0,1,,7174.62,4.0,65,71.6,2025-01-24,973,2025-02-19,67,43,2025-03-30
454,White Ltd,USA,Miami,"Fertility, Cardiology",Spanish,0,1,0,1,0,1,,5207.32,1.7,57,25.0,2025-01-22,255,2025-02-24,69,49,2025-03-22
455,"Lamb, Martin and Kim",USA,New York,"Orthopedics, Cosmetic Surgery","Spanish, English",1,0,1,0,1,1,,1046.22,1.0,79,24.3,2025-03-04,109,2025-04-18,44,46,2025-04-13
456,Diaz-Ball,Thailand,Chiang Mai,Dental,"Turkish, Spanish",0,0,1,0,1,0,,1978.49,3.6,64,34.4,2025-03-02,306,2025-03-26,54,11,2025-04-01
457,Bishop-Goodwin,Croatia,Split,Orthopedics,"Croatian, Turkish, Spanish",0,1,1,0,1,0,,1551.32,2.1,58,29.0,2025-03-07,922,2025-04-16,20,42,2025-04-12
458,Young-Allen,Thailand,Phuket,"Dental, Orthopedics","Hindi, Turkish",0,1,1,1,0,0,,9597.95,4.2,58,12.0,2025-02-13,13,2025-02-28,87,15,2025-04-17
459,Mckee-Lee,Germany,Munich,"Cardiology, Dental","Turkish, German",1,1,0,1,0,0,,7427.86,1.7,67,55.4,2025-03-16,717,2025-04-03,85,27,2025-04-12
460,"Valentine, Joyce and Murray",Thailand,Phuket,Dermatology,"Hindi, Croatian, Spanish",0,0,0,0,0,1,,864.48,5.0,59,31.3,2025-01-30,204,2025-04-13,6,24,2025-04-05
461,Strickland-Shaw,India,Mumbai,"Dermatology, Fertility, Cardiology","Turkish, Croatian",0,1,0,1,0,1,,3953.97,4.8,95,30.7,2025-03-09,916,2025-04-15,23,2,2025-04-18
462,Burch-Montoya,USA,Miami,"Cosmetic Surgery, Fertility, Dermatology","German, Hindi",0,1,0,1,1,1,,3675.68,1.4,92,2.0,2025-02-07,788,2025-02-22,16,21,2025-04-07
463,"Taylor, Wright and Davidson",Germany,Munich,"Cardiology, Dermatology, Cosmetic Surgery",Thai,1,0,1,0,0,0,,6480.81,3.4,52,42.6,2025-01-25,837,2025-04-06,24,45,2025-04-04
464,Spencer-Garcia,USA,Los Angeles,"Cardiology, Cosmetic Surgery, Dermatology","Turkish, Spanish, Hindi",0,0,0,0,1,1,,8970.07,4.0,85,70.2,2025-03-03,459,2025-03-09,91,7,2025-03-20
465,"Rosales, Mitchell and Hines",Thailand,Bangkok,"Orthopedics, Cardiology","Croatian, English, Spanish",1,0,1,0,0,0,,7536.79,2.6,93,38.8,2025-02-12,994,2025-04-14,21,28,2025-03-25
466,Cole-Palmer,India,Mumbai,"Orthopedics, Dermatology, Cosmetic Surgery",Spanish,0,0,0,0,1,1,,3382.4,1.9,95,20.1,2025-04-03,175,2025-04-04,5,34,2025-04-11
467,Davis-Lozano,Turkey,Istanbul,"Fertility, Cosmetic Surgery, Dermatology","Croatian, English",0,0,0,0,1,1,,3583.34,4.8,85,19.7,2025-04-01,418,2025-02-20,78,18,2025-04-08
468,Wilkerson-Arias,USA,Miami,Cosmetic Surgery,Thai,1,0,1,0,0,1,,9483.73,2.0,90,46.0,2025-02-07,211,2025-02-25,56,14,2025-04-08
469,Brown-Shaw,Turkey,Istanbul,"Dermatology, Orthopedics, Fertility","Spanish, Thai",1,1,0,1,0,1,,2224.38,1.7,61,14.4,2025-02-15,965,2025-03-03,23,41,2025-04-09
470,Hughes Inc,USA,New York,Fertility,"Thai, Hindi",0,0,0,0,1,0,,4822.73,3.6,75,8.1,2025-02-10,140,2025-03-03,96,0,2025-03-30
471,Walker-Flores,USA,New York,"Dental, Dermatology",Croatian,0,0,0,0,1,0,,9416.68,3.4,100,69.6,2025-04-05,555,2025-03-02,43,45,2025-04-16
472,Combs Ltd,Mexico,Cancun,"Cardiology, Orthopedics",German,1,1,0,0,0,1,,6461.12,1.5,52,8.3,2025-03-12,105,2025-03-17,53,9,2025-04-18
473,Moody-Taylor,Mexico,Cancun,Orthopedics,"Spanish, German",1,0,1,0,1,0,,9912.3,1.9,68,26.4,2025-01-30,341,2025-04-11,46,5,2025-03-21
474,Lowery-Kennedy,USA,Miami,Fertility,"Hindi, German",0,1,0,1,1,1,,8816.32,2.1,81,48.0,2025-03-16,830,2025-02-19,91,4,2025-03-24
475,Blake Group,USA,Los Angeles,"Fertility, Cosmetic Surgery, Dermatology","Turkish, Thai",1,0,0,1,1,0,,1359.25,5.0,61,55.5,2025-03-04,326,2025-03-18,54,30,2025-03-27
476,Gilbert-Bullock,Thailand,Phuket,"Cosmetic Surgery, Fertility, Cardiology","Turkish, Hindi",1,1,0,1,0,1,,5505.99,4.1,97,16.6,2025-04-07,240,2025-03-26,0,13,2025-03-22
477,Scott and Sons,USA,New York,"Orthopedics, Fertility, Dental",German,1,0,1,1,0,1,,2803.73,4.3,53,54.0,2025-04-03,985,2025-03-05,90,9,2025-04-06
478,"Bentley, Lynch and Henderson",Germany,Berlin,"Orthopedics, Cosmetic Surgery, Dental","English, Thai, Hindi",0,1,0,0,0,1,,1842.14,2.0,50,41.4,2025-02-24,153,2025-03-01,23,30,2025-03-26
479,Young-Martinez,Mexico,Tijuana,"Dermatology, Cosmetic Surgery, Orthopedics","Thai, German",1,0,1,0,0,0,,8870.99,1.1,98,13.3,2025-03-29,11,2025-03-24,54,43,2025-03-19
480,Barnes PLC,Thailand,Phuket,"Cosmetic Surgery, Cardiology, Dermatology","Spanish, Turkish, Croatian",1,0,1,0,0,1,,6380.92,1.9,61,59.4,2025-02-06,619,2025-02-24,9,44,2025-04-04
481,Brown-Copeland,Thailand,Chiang Mai,"Dermatology, Orthopedics, Cardiology",English,1,1,0,1,0,0,,1239.18,3.4,71,3.0,2025-03-13,166,2025-03-15,13,4,2025-04-12
482,Carlson-Smith,India,Delhi,"Fertility, Cardiology",Thai,0,0,1,0,0,1,,933.97,2.3,69,1.6,2025-03-04,769,2025-03-31,50,32,2025-04-12
483,"Andrews, Higgins and Carter",Turkey,Ankara,"Cosmetic Surgery, Fertility, Dental","Turkish, Thai",0,0,0,1,1,0,,3256.13,1.6,79,6.6,2025-01-28,95,2025-02-17,91,14,2025-03-21
484,Mendez and Sons,Mexico,Tijuana,"Fertility, Dermatology, Cosmetic Surgery","Croatian, Spanish",1,1,1,1,0,1,,2771.55,5.0,88,6.3,2025-03-30,580,2025-03-09,63,6,2025-03-24
485,"Butler, Beck and Miller",USA,Los Angeles,"Cardiology, Dental","English, Turkish",1,0,1,0,0,1,,5976.86,2.4,54,13.7,2025-02-19,264,2025-03-19,32,48,2025-03-21
486,Jones-Fox,Thailand,Phuket,Dental,"Turkish, English, German",1,1,1,0,1,1,,5368.55,3.5,70,27.5,2025-01-21,423,2025-03-17,57,16,2025-03-21
487,"Hartman, Romero and Smith",Germany,Berlin,"Dermatology, Dental, Fertility","Croatian, Hindi, English",0,0,1,1,0,1,,8611.38,1.9,79,48.5,2025-03-05,477,2025-03-20,82,34,2025-03-21
488,Williams-Hughes,Croatia,Split,Dental,Thai,0,1,1,0,1,1,,1112.48,2.4,88,35.5,2025-01-19,759,2025-03-19,14,17,2025-04-04
489,King-Smith,USA,Miami,Orthopedics,Thai,0,1,0,1,0,1,,8000.81,4.9,63,4.8,2025-04-16,975,2025-03-01,87,27,2025-04-10
490,Cooper Ltd,Turkey,Izmir,Dental,English,1,1,0,1,1,1,,5485.39,3.7,66,14.1,2025-04-12,94,2025-02-20,54,21,2025-03-19
491,"Fuller, Ingram and Moss",Croatia,Split,Fertility,"Turkish, Croatian",1,0,1,1,1,0,,5828.63,4.6,62,6.5,2025-01-23,592,2025-03-10,18,20,2025-03-28
492,Anderson-Bell,Croatia,Dubrovnik,"Dermatology, Cosmetic Surgery, Dental",Turkish,0,1,1,0,1,1,,5446.57,1.0,78,68.0,2025-04-02,649,2025-03-21,81,37,2025-04-15
493,Li-Thompson,USA,Los Angeles,"Fertility, Orthopedics, Dermatology","Turkish, Spanish, German",0,0,0,1,1,0,,3368.47,2.2,57,50.7,2025-01-25,466,2025-03-23,52,22,2025-04-07
494,"Marshall, Dominguez and Welch",Croatia,Dubrovnik,"Cardiology, Cosmetic Surgery",Spanish,1,1,1,0,0,1,,4124.85,4.4,94,49.3,2025-01-27,290,2025-03-05,79,6,2025-04-16
495,Brown Group,Croatia,Zagreb,Dermatology,Hindi,1,0,1,0,1,0,,6843.25,4.4,63,16.8,2025-02-19,564,2025-03-25,14,12,2025-03-22
496,Carter Inc,Thailand,Bangkok,"Orthopedics, Dermatology","Thai, Croatian, Turkish",0,1,0,1,1,1,,3420.27,4.6,76,48.8,2025-04-18,921,2025-02-19,53,2,2025-04-18
497,Blackwell LLC,USA,Los Angeles,"Cardiology, Dermatology","German, Spanish",1,0,1,0,1,0,,8112.65,3.3,58,67.7,2025-02-28,1000,2025-03-03,22,25,2025-03-21
498,Robertson-Hays,Turkey,Izmir,Orthopedics,English,0,0,1,1,0,1,,2435.74,1.4,77,1.8,2025-02-02,156,2025-04-17,79,45,2025-04-01
499,"Kennedy, Johnson and Lucas",USA,Miami,"Dental, Fertility","Thai, Croatian",1,0,0,0,1,0,,5586.46,2.0,99,58.3,2025-03-01,788,2025-04-02,84,3,2025-04-10
500,Kelly-Norman,USA,Los Angeles,"Dental, Cardiology, Dermatology",Turkish,0,0,0,1,1,0,,1381.38,3.0,73,65.8,2025-03-23,400,2025-04-12,62,50,2025-04-18
501,"Rivera, Martinez and Richardson",Thailand,Bangkok,"Dermatology, Dental",Thai,1,1,1,1,0,0,,3338.17,4.6,92,41.3,2025-01-31,875,2025-04-16,15,21,2025-04-07
502,Paul-Kline,Thailand,Phuket,"Cardiology, Dental, Fertility","Thai, German, English",0,0,0,0,0,1,,1590.49,1.9,70,10.8,2025-04-08,745,2025-03-05,16,17,2025-04-10
503,Morgan-Lopez,Thailand,Bangkok,Cosmetic Surgery,"Hindi, Thai, German",1,1,1,1,0,1,,2143.12,3.7,95,21.0,2025-02-27,105,2025-03-12,98,37,2025-04-09
504,"Jimenez, Glass and Stone",Mexico,Cancun,"Orthopedics, Dermatology, Cardiology","Hindi, Thai",1,1,0,1,1,0,,5887.85,2.5,90,59.2,2025-02-20,171,2025-02-21,4,32,2025-04-10
505,Acosta Inc,India,Mumbai,"Cardiology, Dermatology","Turkish, English",0,0,1,1,0,1,,2830.52,1.9,73,27.4,2025-03-09,125,2025-04-18,40,44,2025-04-18
506,Morrison-Short,Germany,Munich,Orthopedics,"Croatian, German, Spanish",0,1,1,0,0,0,,5829.11,3.9,92,6.3,2025-01-26,431,2025-03-06,96,27,2025-04-08
507,"Carter, Garcia and Murphy",Croatia,Split,Fertility,Croatian,1,1,0,1,1,0,,1678.88,1.7,70,43.0,2025-03-19,590,2025-04-17,36,1,2025-03-29
508,Parker-Morrison,Croatia,Dubrovnik,Orthopedics,"Spanish, Turkish",0,0,1,0,0,1,,1403.64,4.2,96,22.4,2025-03-09,771,2025-03-27,51,5,2025-04-01
509,Jackson-Wallace,Croatia,Split,"Cardiology, Dental","German, Thai",1,1,0,1,0,0,,2628.14,4.3,58,8.5,2025-03-08,882,2025-03-05,92,27,2025-04-11
510,Williams-Berg,Mexico,Cancun,Dermatology,"Croatian, Hindi",0,0,1,0,0,0,,9497.88,1.3,71,49.8,2025-03-01,276,2025-03-05,21,8,2025-03-31
511,Mendez-Graham,Thailand,Bangkok,Cosmetic Surgery,Croatian,1,1,0,0,1,1,,9775.32,2.3,96,35.3,2025-04-07,270,2025-02-28,37,45,2025-04-16
512,"Whitney, Gould and Jones",Turkey,Izmir,Dermatology,"Thai, Spanish, English",0,1,0,0,0,0,,4947.43,2.5,81,8.4,2025-03-23,833,2025-03-12,97,33,2025-04-02
513,"Sullivan, Palmer and Brady",Croatia,Split,"Dermatology, Orthopedics","Spanish, Hindi, English",0,0,1,1,1,0,,7910.2,1.8,67,31.0,2025-01-21,314,2025-02-17,73,41,2025-04-15
514,Cisneros and Sons,Mexico,Mexico City,Dermatology,Spanish,0,1,0,1,0,1,,6787.91,2.8,66,9.4,2025-02-07,86,2025-03-27,55,13,2025-04-14
515,"Gregory, Kim and Martinez",Thailand,Phuket,"Cardiology, Cosmetic Surgery",Turkish,1,1,0,0,1,1,,2342.35,1.8,61,43.2,2025-02-10,622,2025-03-18,66,27,2025-04-15
516,Osborne LLC,Germany,Berlin,"Fertility, Dental, Dermatology",English,0,1,0,0,0,1,,2651.42,3.5,95,29.7,2025-02-27,103,2025-04-04,93,44,2025-04-10
517,Reyes-Bradley,Thailand,Bangkok,Fertility,"Thai, German",1,0,0,0,1,1,,8599.36,3.8,60,23.4,2025-04-10,170,2025-04-07,42,29,2025-04-14
